PD;DeudaTotalSBSMicrof_M3max_rango;Documentos.Impagos_n_1_rango;MAXIMO_DIAS_ATRASO_DDIRECTASBS_M3max_rango;riesgos_al_menos_uno_de_los_solicitantes_vive_en_la_garantia__rango;ocupacion2;Grupo.Distritos;Calificación_1_rango;diasatraso_rango;riesgos_motivo_principal_del_prestamo_rango;SCORE 26;score final
0;b. 10001 a más;a. no tiene;b. mas de 15;a. NO;a. independiente;grupo 3;a. Normal;c. nuevo;b. Capital de trabajo;C;857
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;d. Otros motivos personales;B;913
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;b. dependiente;grupo 2;a. Normal;b. 1 hasta 60;c. Compra de deuda;A+;971
1;b. 10001 a más;a. no tiene;b. mas de 15;b. SÍ;b. dependiente;grupo 2;c. Deficiente/Dudoso/Perdida;b. 1 hasta 60;b. Capital de trabajo;B;873
0;b. 10001 a más;a. no tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;b. 1 hasta 60;b. Capital de trabajo;C;822
1;b. 10001 a más;b. tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;b. 1 hasta 60;b. Capital de trabajo;D;722
0;b. 10001 a más;b. tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;b. 1 hasta 60;c. Compra de deuda;C;778
0;a. hasta 10000;b. tiene;a. 0 a 15;a. NO;a. independiente;grupo 2;a. Normal;b. 1 hasta 60;a. Construir o remodelar;C;813
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;c. arrendamiento;grupo 2;a. Normal;c. nuevo;a. Construir o remodelar;A+;947
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 3;c. Deficiente/Dudoso/Perdida;c. nuevo;b. Capital de trabajo;C;852
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 3;a. Normal;b. 1 hasta 60;b. Capital de trabajo;A+;967
1;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;B;915
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;b. Capital de trabajo;C;853
1;b. 10001 a más;a. no tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;a. Construir o remodelar;D;687
0;b. 10001 a más;a. no tiene;a. 0 a 15;a. NO;a. independiente;grupo 2;a. Normal;b. 1 hasta 60;b. Capital de trabajo;B;912
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;B;915
0;a. hasta 10000;b. tiene;a. 0 a 15;a. NO;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;D;733
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;c. arrendamiento;grupo 2;a. Normal;c. nuevo;c. Compra de deuda;A+;970
1;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;a. Construir o remodelar;D;708
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;B;888
0;b. 10001 a más;b. tiene;a. 0 a 15;a. NO;a. independiente;grupo 3;a. Normal;c. nuevo;c. Compra de deuda;B;899
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;b. 1 hasta 60;a. Construir o remodelar;B;901
0;a. hasta 10000;a. no tiene;a. 0 a 15;a. NO;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;C;830
0;a. hasta 10000;a. no tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;C;801
1;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;a. Construir o remodelar;C;811
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;B;888
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;b. 1 hasta 60;c. Compra de deuda;A+;957
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;B;915
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 1;c. Deficiente/Dudoso/Perdida;c. nuevo;c. Compra de deuda;C;816
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;b. dependiente;grupo 2;a. Normal;b. 1 hasta 60;a. Construir o remodelar;A+;949
1;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 1;c. Deficiente/Dudoso/Perdida;c. nuevo;a. Construir o remodelar;D;710
0;b. 10001 a más;a. no tiene;a. 0 a 15;a. NO;a. independiente;grupo 3;a. Normal;c. nuevo;d. Otros motivos personales;A+;955
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;b. Capital de trabajo;C;853
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;c. arrendamiento;grupo 2;a. Normal;b. 1 hasta 60;c. Compra de deuda;A+;980
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;b. 1 hasta 60;a. Construir o remodelar;B;901
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;a. Construir o remodelar;B;889
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;b. dependiente;grupo 2;a. Normal;c. nuevo;a. Construir o remodelar;B;871
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;C;817
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;a. Construir o remodelar;C;768
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;a. Construir o remodelar;C;768
0;b. 10001 a más;a. no tiene;a. 0 a 15;a. NO;c. arrendamiento;grupo 3;a. Normal;c. nuevo;c. Compra de deuda;A+;972
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 3;a. Normal;c. nuevo;b. Capital de trabajo;A+;950
0;b. 10001 a más;b. tiene;a. 0 a 15;a. NO;c. arrendamiento;grupo 1;b. Sin Calificación/CPP;c. nuevo;c. Compra de deuda;C;825
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;d. Otros motivos personales;A;935
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;a. Construir o remodelar;C;854
0;b. 10001 a más;a. no tiene;a. 0 a 15;a. NO;c. arrendamiento;grupo 3;a. Normal;c. nuevo;c. Compra de deuda;A+;972
0;b. 10001 a más;a. no tiene;a. 0 a 15;a. NO;a. independiente;grupo 2;a. Normal;c. nuevo;c. Compra de deuda;B;900
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 3;a. Normal;c. nuevo;b. Capital de trabajo;A+;950
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;B;915
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;a. Construir o remodelar;C;768
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;c. arrendamiento;grupo 2;a. Normal;c. nuevo;a. Construir o remodelar;A+;947
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;a. Construir o remodelar;B;889
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;a. Construir o remodelar;D;708
0;b. 10001 a más;b. tiene;b. mas de 15;b. SÍ;a. independiente;grupo 3;c. Deficiente/Dudoso/Perdida;c. nuevo;c. Compra de deuda;C;798
0;b. 10001 a más;a. no tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;b. 1 hasta 60;c. Compra de deuda;B;861
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 3;a. Normal;c. nuevo;a. Construir o remodelar;A;933
0;b. 10001 a más;b. tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;b. 1 hasta 60;b. Capital de trabajo;D;722
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;b. dependiente;grupo 2;a. Normal;c. nuevo;c. Compra de deuda;A+;956
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;B;915
1;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;b. dependiente;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;a. Construir o remodelar;C;784
0;b. 10001 a más;a. no tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;C;801
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;a. Construir o remodelar;C;854
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 3;a. Normal;c. nuevo;a. Construir o remodelar;A;933
0;b. 10001 a más;a. no tiene;b. mas de 15;b. SÍ;a. independiente;grupo 3;c. Deficiente/Dudoso/Perdida;b. 1 hasta 60;b. Capital de trabajo;B;890
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;b. dependiente;grupo 1;c. Deficiente/Dudoso/Perdida;c. nuevo;b. Capital de trabajo;C;831
0;b. 10001 a más;a. no tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;C;846
0;b. 10001 a más;a. no tiene;b. mas de 15;b. SÍ;c. arrendamiento;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;a. Construir o remodelar;C;831
1;b. 10001 a más;a. no tiene;a. 0 a 15;a. NO;a. independiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;B;869
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;B;915
0;a. hasta 10000;b. tiene;a. 0 a 15;a. NO;c. arrendamiento;grupo 2;a. Normal;c. nuevo;a. Construir o remodelar;B;862
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 3;a. Normal;c. nuevo;b. Capital de trabajo;B;914
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;c. arrendamiento;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;A+;946
0;a. hasta 10000;b. tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;b. 1 hasta 60;c. Compra de deuda;C;827
0;b. 10001 a más;b. tiene;b. mas de 15;a. NO;b. dependiente;grupo 2;c. Deficiente/Dudoso/Perdida;b. 1 hasta 60;c. Compra de deuda;C;764
1;b. 10001 a más;b. tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;b. Capital de trabajo;E;625
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;b. dependiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;A;922
0;a. hasta 10000;a. no tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;a. Construir o remodelar;D;750
0;b. 10001 a más;b. tiene;b. mas de 15;b. SÍ;a. independiente;grupo 1;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;E;564
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;C;859
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;c. arrendamiento;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;a. Construir o remodelar;B;906
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 3;a. Normal;c. nuevo;c. Compra de deuda;A+;962
1;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;b. 1 hasta 60;b. Capital de trabajo;A;944
0;b. 10001 a más;a. no tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;b. Capital de trabajo;D;747
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;b. dependiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;A;922
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;B;915
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;b. 1 hasta 60;b. Capital de trabajo;B;874
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;B;888
0;a. hasta 10000;a. no tiene;a. 0 a 15;a. NO;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;C;830
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;b. dependiente;grupo 2;a. Normal;b. 1 hasta 60;b. Capital de trabajo;A;934
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;b. 1 hasta 60;b. Capital de trabajo;A;944
0;b. 10001 a más;b. tiene;b. mas de 15;b. SÍ;a. independiente;grupo 3;c. Deficiente/Dudoso/Perdida;b. 1 hasta 60;c. Compra de deuda;C;860
0;b. 10001 a más;a. no tiene;b. mas de 15;b. SÍ;b. dependiente;grupo 3;c. Deficiente/Dudoso/Perdida;b. 1 hasta 60;d. Otros motivos personales;A+;956
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 3;a. Normal;c. nuevo;b. Capital de trabajo;A+;950
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;b. 1 hasta 60;a. Construir o remodelar;B;876
0;b. 10001 a más;a. no tiene;b. mas de 15;b. SÍ;a. independiente;grupo 3;c. Deficiente/Dudoso/Perdida;c. nuevo;c. Compra de deuda;B;875
1;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;B;915
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;c. Compra de deuda;A;935
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;b. dependiente;grupo 2;a. Normal;c. nuevo;a. Construir o remodelar;A;923
0;b. 10001 a más;a. no tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;b. 1 hasta 60;b. Capital de trabajo;B;863
0;a. hasta 10000;b. tiene;a. 0 a 15;a. NO;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;a. Construir o remodelar;D;671
1;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;c. Compra de deuda;B;914
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;d. Otros motivos personales;A;917
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;b. dependiente;grupo 2;a. Normal;b. 1 hasta 60;c. Compra de deuda;A+;950
0;a. hasta 10000;b. tiene;a. 0 a 15;a. NO;a. independiente;grupo 3;a. Normal;b. 1 hasta 60;b. Capital de trabajo;B;911
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;a. Construir o remodelar;C;819
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;a. Construir o remodelar;C;854
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;c. Compra de deuda;A;935
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 3;a. Normal;c. nuevo;b. Capital de trabajo;A+;950
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 3;a. Normal;c. nuevo;c. Compra de deuda;A;935
1;a. hasta 10000;b. tiene;b. mas de 15;b. SÍ;a. independiente;grupo 1;c. Deficiente/Dudoso/Perdida;c. nuevo;b. Capital de trabajo;E;486
0;a. hasta 10000;a. no tiene;a. 0 a 15;a. NO;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;a. Construir o remodelar;C;784
0;b. 10001 a más;a. no tiene;a. 0 a 15;a. NO;a. independiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;B;869
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;a. Construir o remodelar;C;768
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;C;817
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 3;a. Normal;b. 1 hasta 60;c. Compra de deuda;A+;975
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;d. Otros motivos personales;A;917
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;C;817
0;b. 10001 a más;a. no tiene;a. 0 a 15;a. NO;a. independiente;grupo 2;a. Normal;b. 1 hasta 60;b. Capital de trabajo;B;912
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;a. Construir o remodelar;B;889
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;d. Otros motivos personales;A;935
1;b. 10001 a más;a. no tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;a. Normal;b. 1 hasta 60;b. Capital de trabajo;B;896
1;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;a. Construir o remodelar;C;811
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;B;915
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 3;a. Normal;c. nuevo;a. Construir o remodelar;A;933
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;b. 1 hasta 60;b. Capital de trabajo;A;944
0;b. 10001 a más;a. no tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;b. 1 hasta 60;d. Otros motivos personales;A;919
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;C;859
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;c. arrendamiento;grupo 2;a. Normal;c. nuevo;a. Construir o remodelar;B;910
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;b. 1 hasta 60;b. Capital de trabajo;A;944
1;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;c. arrendamiento;grupo 3;b. Sin Calificación/CPP;c. nuevo;a. Construir o remodelar;A;929
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;c. arrendamiento;grupo 2;a. Normal;c. nuevo;a. Construir o remodelar;A+;947
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;b. dependiente;grupo 2;a. Normal;c. nuevo;a. Construir o remodelar;B;871
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;C;817
0;b. 10001 a más;b. tiene;b. mas de 15;b. SÍ;c. arrendamiento;grupo 2;b. Sin Calificación/CPP;b. 1 hasta 60;c. Compra de deuda;B;914
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;B;888
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;a. Construir o remodelar;C;768
1;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;C;817
0;b. 10001 a más;a. no tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;c. Compra de deuda;C;799
0;b. 10001 a más;a. no tiene;b. mas de 15;a. NO;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;c. Compra de deuda;C;770
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;C;859
0;b. 10001 a más;a. no tiene;b. mas de 15;a. NO;c. arrendamiento;grupo 3;a. Normal;c. nuevo;c. Compra de deuda;A+;947
0;b. 10001 a más;a. no tiene;a. 0 a 15;a. NO;b. dependiente;grupo 3;c. Deficiente/Dudoso/Perdida;c. nuevo;b. Capital de trabajo;B;904
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;c. Compra de deuda;A;935
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;b. 1 hasta 60;b. Capital de trabajo;A;944
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;b. dependiente;grupo 2;a. Normal;c. nuevo;c. Compra de deuda;A;924
0;b. 10001 a más;b. tiene;b. mas de 15;b. SÍ;b. dependiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;d. Otros motivos personales;C;860
1;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;C;817
0;b. 10001 a más;a. no tiene;a. 0 a 15;a. NO;a. independiente;grupo 3;a. Normal;c. nuevo;a. Construir o remodelar;B;897
0;b. 10001 a más;a. no tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;a. Construir o remodelar;D;687
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;b. Capital de trabajo;C;766
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;b. dependiente;grupo 2;a. Normal;b. 1 hasta 60;b. Capital de trabajo;A+;962
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 1;a. Normal;b. 1 hasta 60;b. Capital de trabajo;B;905
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;a. Construir o remodelar;C;768
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;c. Compra de deuda;C;857
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;b. dependiente;grupo 2;a. Normal;b. 1 hasta 60;d. Otros motivos personales;A+;962
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;b. 1 hasta 60;c. Compra de deuda;A+;957
0;a. hasta 10000;b. tiene;a. 0 a 15;a. NO;b. dependiente;grupo 2;a. Normal;c. nuevo;a. Construir o remodelar;C;807
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;b. 1 hasta 60;b. Capital de trabajo;B;900
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;C;859
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;B;915
0;b. 10001 a más;a. no tiene;a. 0 a 15;a. NO;b. dependiente;grupo 3;a. Normal;c. nuevo;a. Construir o remodelar;A;928
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;c. arrendamiento;grupo 3;a. Normal;c. nuevo;a. Construir o remodelar;A+;969
0;b. 10001 a más;b. tiene;a. 0 a 15;a. NO;a. independiente;grupo 2;a. Normal;c. nuevo;d. Otros motivos personales;B;872
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;C;859
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;c. Compra de deuda;B;891
1;a. hasta 10000;b. tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;a. Construir o remodelar;E;553
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;c. Compra de deuda;A;935
1;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;c. arrendamiento;grupo 2;b. Sin Calificación/CPP;c. nuevo;a. Construir o remodelar;B;881
0;a. hasta 10000;a. no tiene;a. 0 a 15;a. NO;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;a. Construir o remodelar;C;784
1;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;c. Compra de deuda;B;886
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;c. arrendamiento;grupo 1;c. Deficiente/Dudoso/Perdida;c. nuevo;a. Construir o remodelar;C;846
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;b. 1 hasta 60;b. Capital de trabajo;A;925
0;a. hasta 10000;a. no tiene;a. 0 a 15;a. NO;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;b. 1 hasta 60;a. Construir o remodelar;C;806
